Supplementary Table 5.  Raw measurements and metadata for F2s used in this study.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Sex,Grandmother Inbred Line,Corticosterone ng/mL,Litter.ID,Partuition.Number,Litter.Size,Cage.ID,Week.4.Weight,Week.5.Weight,Week.6.Weight,Week.7.Weight,Week.8.Weight,Week.9.Weight,Fecal.Boli.4wk,Humidity.4wk,Time.of.Day.4wk,Fecal.Boli.8wk,OF.8wk.Estrous,Humidity.8wk,Time.of.Day.8wk,Temperature.LD,Humidity.LD,Time.of.Day.LD,Fecal.Boli.LD.Total,Estrous.LD,Distance.Traveled.4wk,Time.in.Center.4wk.increased.radius,Distance.Traveled.8wk,Time.in.Center.8wk.increased.radius,Light.Chamber.Entrances.LD,Center.Crosses.LD,Time.in.Light.Chamber.LD,Time.Past.Center.LD
14493,Female,WSB,NA,1466,3,9,38,11,14.1,14.9,15.7,15.6,16.4,6,24,7.58,0,Female,32,6.33,70,27,3.65,5,Female,155.7988737,508.1,211.2751859,337.4333333,410,91,750.9,220.6333333
14494,Male,WSB,NA,1466,3,9,39,14,13.4,18,18.4,18.5,19.7,11,26,2.88,7,Male,32,8.75,72,26,5.57,10,Male,133.4522192,552.9666667,77.75653024,574.3666667,203,59,690.8666667,276.2
14495,Male,WSB,NA,1466,3,9,39,11.6,12.1,14.4,14.3,14.3,15.7,10,26,2.25,9,Male,28,9.38,70,27,4.85,8,Male,142.6617262,318.9,76.58630915,184.0333333,337,39,463.7666667,215.4
14497,Female,WSB,NA,1466,3,9,38,9.8,17.2,13.8,15,14.6,15,3,24,8.22,3,Female,31,6.97,70,28,2.9,6,Female,173.0685628,584.3333333,125.511266,284.4333333,311,49,677.3666667,232.7666667
14563,Male,Gough,NA,1484,1,7,40,14.2,17.1,17.5,18.2,18.4,18.8,11,33,2.82,11,Male,33,8.65,70,25,9.02,6,Male,142.6092439,517.1333333,149.5523755,718.1,280,62,677.2333333,255.0333333
14564,Male,Gough,NA,1484,1,7,40,12,15.8,15.5,16,16.4,16.8,7,32,3.43,7,Male,33,8.03,70,25,8.3,6,Male,134.317055,439.7333333,86.609749,278.2666667,383,34,561.6,159
14565,Female,Gough,NA,1484,1,7,41,10.3,11.1,11.7,12.7,13,12.7,5,30,4.48,11,Female,29,2.9,70,25,10.18,3,Female,187.037835,394.7333333,200.2325978,452.9333333,305,42,555.6,187.9666667
14567,Female,Gough,NA,1484,1,7,42,10.8,12.3,12.8,13.6,14.3,14.8,5,27,6.83,6,Female,24,5.38,70,27,5.48,5,Female,139.6890175,682.7666667,132.6712045,580.4,200,51,539.6,207.5
14568,Female,Gough,NA,1484,1,7,42,12.7,14.4,15.6,16.3,16.5,16.2,5,27,7.47,9,Female,28,4.75,68,27,4.75,7,Female,169.9304822,471.9,134.147388,309.1666667,226,62,699.3333333,310.4333333
14569,Female,Gough,NA,1484,1,7,41,11.9,14,16.2,18.2,18.2,18.7,7,30,5.12,6,Female,29,3.53,72,24,10.92,7,Female,173.0849766,231.1333333,157.0708802,282.0333333,207,63,558.8666667,211.9666667
14673,Male,Gough,NA,1526,1,8,296,14.8,18.3,20.5,22,20.9,21.4,9,26,5.73,11,Male,24,10.57,72,24,10.78,3,Male,123.439709,289.8333333,113.7592746,198.3333333,131,35,423.2,154.6333333
14674,Male,Gough,NA,1526,1,8,43,13.1,17.5,17.6,18.5,18.9,19.5,7,26,4.55,16,Male,25,2.78,70,24,8.26,2,Male,140.9337372,560.0666667,172.0396251,351.2333333,203,65,860.2,290
14675,Male,Gough,367.061,1526,1,8,43,12.6,15.3,15.8,17.5,17.2,17.7,5,26,3.93,9,Male,25,2.13,70,26,9.13,5,Male,126.6736266,377.9666667,155.3709467,464.7333333,212,68,696,299
14676,Male,Gough,483.119,1526,1,8,296,13.4,17.9,19.5,21.4,21.3,22.5,10,25,6.42,2,Male,24,9.92,72,24,11.48,2,Male,97.80908074,523.2333333,70.83182531,111.5666667,150,36,408.8666667,159.5666667
14678,Female,Gough,NA,1526,1,8,44,9.9,11.2,11.9,12.3,12.5,12.9,6,25,8.82,4,Female,23,8.67,70,29,10.35,5,Female,149.6734804,627.1333333,138.9080556,419.3333333,194,62,561.2666667,255.8333333
14680,Female,Gough,NA,1526,1,8,44,11.1,12.4,13.8,14.4,14.5,15.1,3,25,8.18,6,Female,24,8.03,68,28,11.1,8,Estrous,115.0209281,540.7666667,113.0428025,572.9333333,270,47,606.9,217.1666667
14697,Male,Gough,NA,1486,2,9,45,11,12.4,12.9,13.8,14,14.1,7,24,10,9,Male,28,4,72,25,8.7,6,Male,133.5338901,381.1666667,128.685685,309.9333333,259,50,643.8,177.3
14698,Male,Gough,NA,1486,2,9,45,12.4,14.8,15.2,15.7,16,16.3,14,24,10.63,11,Male,29,3.25,72,25,9.4,11,Male,99.4693609,298.4333333,107.5778361,417.3,148,32,416.2,185.2333333
